year_of_filing,state,sector,dispute_type,claim_amount_slab,claim_amount_numeric,respondent_type,delay_days,has_written_contract,has_purchase_order,has_delivery_challan,num_invoices_submitted,doc_completeness_score,claimant_udyam_age_months,prior_cases_filed,case_status,resolution_days
2023,Rajasthan,Manufacturing,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,133,1,1,1,13,0.64,28,0,Mutually Settled,157.0
2023,Haryana,Textile & Apparel,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,561,1,1,0,6,0.59,59,0,Mutually Settled,177.0
2024,Tamil Nadu,Food Processing,Contract Breach,Below 1 Lakh,50000,PSU,796,1,1,1,2,0.38,96,0,Disposed - In Favour of Claimant,706.0
2023,Haryana,Printing & Packaging,Partial Payment,10-50 Lakh,3000000,Govt Department,159,1,0,1,9,0.35,111,0,Disposed - In Favour of Claimant,393.0
2023,Haryana,Construction,Non-Payment,Above 1 Crore,15000000,CPSE,272,0,1,0,8,0.92,60,1,Converted to Case - Pending,
2020,Haryana,Printing & Packaging,Payment After Due Date,Below 1 Lakh,50000,Govt Department,871,0,1,0,6,0.49,60,2,Disposed - In Favour of Claimant,262.0
2019,Rajasthan,Auto Components,Non-Payment,1-10 Lakh,500000,CPSE,700,0,1,0,14,0.6,107,0,Mutually Settled,80.0
2023,Odisha,Manufacturing,Partial Payment,1-10 Lakh,500000,Private Large Corp,289,0,1,1,9,0.89,113,3,Mutually Settled,62.0
2018,Rajasthan,Engineering & Fabrication,Non-Payment,10-50 Lakh,3000000,Private Large Corp,466,0,1,1,4,0.6,63,0,Mutually Settled,59.0
2025,Rajasthan,Electrical & Electronics,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private SME,47,1,1,0,14,0.83,97,1,Mutually Settled,77.0
2024,Gujarat,Pharma & Chemicals,Partial Payment,1-10 Lakh,500000,Private SME,476,1,1,1,14,0.47,84,0,Mutually Settled,122.0
2022,Tamil Nadu,Construction,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Govt Department,405,1,1,1,8,0.96,95,0,Mutually Settled,49.0
2021,Maharashtra,Electrical & Electronics,Non-Payment,Below 1 Lakh,50000,PSU,681,1,0,0,3,0.7,64,0,Mutually Settled,129.0
2022,Punjab,Food Processing,Non-Payment,1-10 Lakh,500000,Private Large Corp,882,0,1,1,9,0.64,114,0,Disposed - In Favour of Claimant,602.0
2023,Gujarat,Construction,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private Large Corp,516,1,1,1,12,0.62,116,0,Mutually Settled,159.0
2023,Tamil Nadu,Auto Components,Non-Payment,1-10 Lakh,500000,Private Large Corp,758,0,1,0,5,0.8,45,0,Mutually Settled,139.0
2018,Madhya Pradesh,Manufacturing,Partial Payment,1-10 Lakh,500000,Private Large Corp,628,1,1,1,6,0.7,41,1,Mutually Settled,164.0
2024,Tamil Nadu,Engineering & Fabrication,Non-Payment,Below 1 Lakh,50000,Private SME,625,1,1,1,14,0.1,83,3,Disposed - In Favour of Claimant,91.0
2023,Gujarat,Electrical & Electronics,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,192,0,1,1,6,0.56,76,0,Disposed - In Favour of Claimant,144.0
2018,Gujarat,Food Processing,Non-Payment,10-50 Lakh,3000000,Private Large Corp,309,1,1,1,1,0.71,81,1,Disposed - In Favour of Claimant,282.0
2020,Madhya Pradesh,Manufacturing,Non-Payment,1-10 Lakh,500000,CPSE,844,1,1,0,5,0.46,17,0,Disposed - In Favour of Claimant,681.0
2022,Maharashtra,Food Processing,Partial Payment,10-50 Lakh,3000000,PSU,827,1,1,1,11,0.55,4,2,Mutually Settled,102.0
2019,Rajasthan,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private Large Corp,74,0,0,0,14,0.57,89,0,Rejected,86.0
2019,Karnataka,Electrical & Electronics,Non-Payment,Below 1 Lakh,50000,Govt Department,182,1,1,0,9,0.97,93,0,Mutually Settled,65.0
2017,Haryana,Food Processing,Payment After Due Date,50 Lakh - 1 Crore,7500000,Private SME,658,1,1,0,14,0.77,19,0,Mutually Settled,48.0
2024,Punjab,Manufacturing,Partial Payment,1-10 Lakh,500000,Private Large Corp,883,1,1,0,8,0.72,116,0,Mutually Settled,125.0
2018,Telangana,Food Processing,Non-Payment,1-10 Lakh,500000,Private SME,791,1,1,0,9,0.42,68,2,Converted to Case - Pending,
2021,Maharashtra,Electrical & Electronics,Partial Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,489,1,1,1,14,0.51,30,0,Mutually Settled,85.0
2020,Tamil Nadu,Manufacturing,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Govt Department,393,1,1,1,1,0.82,20,1,Mutually Settled,129.0
2023,Tamil Nadu,Auto Components,Non-Payment,10-50 Lakh,3000000,Private Large Corp,858,1,1,1,3,0.78,47,0,Mutually Settled,160.0
2023,Gujarat,Textile & Apparel,Partial Payment,10-50 Lakh,3000000,PSU,375,1,0,1,2,0.37,93,1,Disposed - In Favour of Claimant,240.0
2024,Tamil Nadu,Manufacturing,Payment After Due Date,Below 1 Lakh,50000,PSU,99,1,1,1,7,0.93,45,0,Mutually Settled,58.0
2022,Tamil Nadu,Construction,Non-Payment,Above 1 Crore,15000000,Govt Department,858,1,1,1,6,0.48,20,3,Mutually Settled,91.0
2022,Karnataka,Textile & Apparel,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,816,1,1,1,2,0.72,11,0,Mutually Settled,92.0
2021,Punjab,Food Processing,Partial Payment,1-10 Lakh,500000,Private SME,121,1,1,1,4,1.0,64,0,Mutually Settled,160.0
2023,Uttar Pradesh,Electrical & Electronics,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,337,1,1,1,8,0.57,107,0,Mutually Settled,16.0
2019,Haryana,Manufacturing,Non-Payment,1-10 Lakh,500000,Govt Department,696,0,0,1,6,0.68,116,0,Mutually Settled,59.0
2023,Tamil Nadu,Electrical & Electronics,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,502,1,1,0,4,0.54,20,1,Disposed - In Favour of Claimant,201.0
2019,Tamil Nadu,Manufacturing,Partial Payment,1-10 Lakh,500000,PSU,435,1,1,1,6,0.69,31,0,Mutually Settled,144.0
2024,Karnataka,Electrical & Electronics,Non-Payment,10-50 Lakh,3000000,PSU,795,1,1,0,5,0.94,21,0,Mutually Settled,164.0
2022,Maharashtra,Construction,Partial Payment,Below 1 Lakh,50000,Private Large Corp,674,1,1,1,1,0.61,103,0,Mutually Settled,94.0
2022,Maharashtra,Pharma & Chemicals,Contract Breach,10-50 Lakh,3000000,Private Large Corp,86,1,1,0,12,0.59,114,0,Disposed - In Favour of Claimant,418.0
2022,Uttar Pradesh,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private SME,885,1,0,1,13,0.87,47,1,Mutually Settled,93.0
2023,Jharkhand,Textile & Apparel,Partial Payment,1-10 Lakh,500000,Private Large Corp,762,1,1,1,5,0.4,52,0,Mutually Settled,111.0
2022,West Bengal,Manufacturing,Partial Payment,10-50 Lakh,3000000,Private Large Corp,491,1,1,1,8,0.67,75,0,Disposed - In Favour of Claimant,570.0
2021,Maharashtra,Food Processing,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,152,1,0,1,3,0.5,71,0,Mutually Settled,24.0
2020,Andhra Pradesh,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private Large Corp,438,1,1,1,13,0.6,44,1,Mutually Settled,74.0
2019,West Bengal,Engineering & Fabrication,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,385,0,1,1,14,0.47,89,1,Disposed - In Favour of Claimant,228.0
2019,Delhi,Textile & Apparel,Non-Payment,1-10 Lakh,500000,PSU,149,1,1,1,7,0.36,101,0,Mutually Settled,50.0
2017,Telangana,Pharma & Chemicals,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,695,1,1,1,8,0.21,85,0,Converted to Case - Pending,
2024,Uttar Pradesh,Engineering & Fabrication,Payment After Due Date,1-10 Lakh,500000,CPSE,86,1,1,1,12,0.56,8,0,Mutually Settled,125.0
2023,Gujarat,IT & Software Services,Contract Breach,50 Lakh - 1 Crore,7500000,CPSE,738,1,1,1,6,0.7,10,0,Mutually Settled,32.0
2020,Karnataka,Engineering & Fabrication,Non-Payment,10-50 Lakh,3000000,PSU,49,1,1,1,4,0.81,55,0,Mutually Settled,32.0
2017,Karnataka,Printing & Packaging,Non-Payment,1-10 Lakh,500000,Private Large Corp,55,0,0,1,10,0.38,99,0,Disposed - In Favour of Claimant,245.0
2022,Karnataka,Electrical & Electronics,Non-Payment,1-10 Lakh,500000,PSU,606,1,1,1,11,0.68,92,0,Mutually Settled,23.0
2021,Karnataka,Textile & Apparel,Non-Payment,Above 1 Crore,15000000,Private Large Corp,119,0,1,1,10,0.76,2,0,Disposed - In Favour of Claimant,504.0
2023,Jharkhand,Pharma & Chemicals,Non-Payment,10-50 Lakh,3000000,Private Large Corp,93,0,0,0,1,0.72,38,2,Mutually Settled,95.0
2021,Bihar,Food Processing,Non-Payment,1-10 Lakh,500000,Private Large Corp,169,0,1,1,10,0.7,43,1,Mutually Settled,99.0
2024,Kerala,Manufacturing,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Govt Department,196,0,1,1,1,0.22,94,1,Converted to Case - Pending,
2018,Madhya Pradesh,Auto Components,Non-Payment,10-50 Lakh,3000000,Private Large Corp,657,1,0,0,14,0.63,85,2,Converted to Case - Pending,
2021,Jharkhand,Construction,Partial Payment,Above 1 Crore,15000000,PSU,534,0,0,1,9,0.63,80,0,Mutually Settled,64.0
2025,Maharashtra,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private Large Corp,438,1,1,1,7,0.76,105,0,Mutually Settled,95.0
2017,Tamil Nadu,Pharma & Chemicals,Non-Payment,50 Lakh - 1 Crore,7500000,PSU,495,0,1,1,12,0.93,108,0,Mutually Settled,127.0
2021,Rajasthan,Manufacturing,Quality Dispute Leading to Non-Payment,Below 1 Lakh,50000,Private Large Corp,832,1,1,1,12,0.6,40,0,Mutually Settled,25.0
2020,Andhra Pradesh,Auto Components,Non-Payment,Above 1 Crore,15000000,CPSE,757,1,1,1,1,0.58,27,0,Disposed - In Favour of Claimant,112.0
2022,Karnataka,Printing & Packaging,Contract Breach,10-50 Lakh,3000000,PSU,775,0,1,1,8,0.68,99,0,Mutually Settled,98.0
2020,West Bengal,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private Large Corp,683,0,0,1,13,0.65,44,0,Mutually Settled,126.0
2024,Gujarat,Food Processing,Partial Payment,1-10 Lakh,500000,Private Large Corp,736,0,1,1,2,0.74,109,1,Mutually Settled,90.0
2025,Tamil Nadu,Construction,Contract Breach,10-50 Lakh,3000000,Private Large Corp,273,1,1,1,11,0.76,7,0,Mutually Settled,18.0
2024,West Bengal,Auto Components,Non-Payment,10-50 Lakh,3000000,PSU,312,0,1,1,5,0.61,106,0,Mutually Settled,136.0
2021,Gujarat,Food Processing,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,304,0,1,1,6,0.75,28,2,Mutually Settled,158.0
2025,Uttar Pradesh,Engineering & Fabrication,Payment After Due Date,10-50 Lakh,3000000,PSU,809,1,1,1,10,0.61,75,3,Disposed - In Favour of Claimant,214.0
2023,Tamil Nadu,Manufacturing,Non-Payment,10-50 Lakh,3000000,Private Large Corp,490,0,0,1,7,0.36,30,0,Disposed - In Favour of Claimant,357.0
2021,Uttar Pradesh,Textile & Apparel,Partial Payment,50 Lakh - 1 Crore,7500000,Private SME,523,1,1,0,14,0.42,13,1,Converted to Case - Pending,
2018,Haryana,Manufacturing,Non-Payment,10-50 Lakh,3000000,PSU,767,0,1,1,7,0.18,50,1,Converted to Case - Pending,
2023,Uttar Pradesh,Auto Components,Non-Payment,50 Lakh - 1 Crore,7500000,Private SME,190,1,1,1,1,0.98,29,0,Mutually Settled,113.0
2023,Karnataka,IT & Software Services,Non-Payment,50 Lakh - 1 Crore,7500000,CPSE,630,1,1,0,5,0.91,110,0,Mutually Settled,57.0
2019,Maharashtra,IT & Software Services,Quality Dispute Leading to Non-Payment,50 Lakh - 1 Crore,7500000,CPSE,75,0,1,0,14,0.86,86,0,Disposed - In Favour of Claimant,519.0
2022,Madhya Pradesh,Construction,Non-Payment,Below 1 Lakh,50000,Private Large Corp,637,0,1,1,13,0.61,14,0,Disposed - In Favour of Claimant,187.0
2025,Uttar Pradesh,Engineering & Fabrication,Non-Payment,10-50 Lakh,3000000,Private SME,53,1,1,1,8,0.85,64,1,Mutually Settled,55.0
2021,Punjab,Printing & Packaging,Partial Payment,1-10 Lakh,500000,PSU,214,1,1,1,5,0.83,113,0,Mutually Settled,142.0
2020,West Bengal,Pharma & Chemicals,Non-Payment,1-10 Lakh,500000,PSU,50,1,1,0,12,0.36,111,0,Mutually Settled,111.0
2024,Gujarat,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private SME,370,0,1,1,12,0.49,105,0,Disposed - In Favour of Claimant,352.0
2019,Kerala,Textile & Apparel,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,795,1,1,1,13,0.76,64,2,Mutually Settled,57.0
2025,Delhi,Auto Components,Payment After Due Date,1-10 Lakh,500000,PSU,197,1,1,1,14,0.55,98,1,Mutually Settled,32.0
2023,Uttar Pradesh,IT & Software Services,Partial Payment,1-10 Lakh,500000,PSU,379,1,1,1,4,0.51,55,0,Mutually Settled,156.0
2021,Gujarat,Electrical & Electronics,Non-Payment,1-10 Lakh,500000,Private Large Corp,426,1,0,1,8,0.81,79,0,Disposed - In Favour of Claimant,349.0
2018,Jharkhand,Printing & Packaging,Non-Payment,1-10 Lakh,500000,Private SME,626,1,1,1,11,0.48,100,0,Mutually Settled,32.0
2017,West Bengal,Auto Components,Partial Payment,10-50 Lakh,3000000,Private Large Corp,465,1,1,1,4,1.0,53,2,Mutually Settled,48.0
2021,Gujarat,Printing & Packaging,Payment After Due Date,Below 1 Lakh,50000,Govt Department,813,1,1,1,4,0.97,47,0,Mutually Settled,138.0
2023,Tamil Nadu,Electrical & Electronics,Non-Payment,1-10 Lakh,500000,CPSE,499,1,1,1,9,0.61,3,0,Disposed - In Favour of Claimant,424.0
2022,Telangana,IT & Software Services,Non-Payment,1-10 Lakh,500000,Govt Department,372,1,1,1,3,0.9,114,1,Mutually Settled,26.0
2023,Haryana,Food Processing,Non-Payment,Below 1 Lakh,50000,Private SME,475,1,1,0,9,0.69,112,0,Mutually Settled,121.0
2023,West Bengal,Electrical & Electronics,Partial Payment,Below 1 Lakh,50000,Private Large Corp,636,1,1,1,12,0.57,107,0,Disposed - In Favour of Claimant,685.0
2022,Rajasthan,Auto Components,Contract Breach,50 Lakh - 1 Crore,7500000,PSU,627,0,1,0,7,1.0,65,0,Mutually Settled,105.0
2025,Haryana,Pharma & Chemicals,Non-Payment,50 Lakh - 1 Crore,7500000,PSU,333,1,1,0,14,0.73,87,0,Mutually Settled,40.0
2023,Uttar Pradesh,Printing & Packaging,Non-Payment,1-10 Lakh,500000,Govt Department,105,1,1,0,10,0.47,76,1,Disposed - In Favour of Claimant,283.0
2024,Gujarat,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private Large Corp,173,1,1,0,5,0.74,16,2,Disposed - In Favour of Claimant,348.0
2020,Punjab,Auto Components,Non-Payment,Above 1 Crore,15000000,Govt Department,428,1,0,1,1,0.99,10,0,Disposed - In Favour of Claimant,430.0
2023,Himachal Pradesh,Food Processing,Non-Payment,Below 1 Lakh,50000,Private Large Corp,215,1,1,0,13,0.65,75,1,Mutually Settled,51.0
2022,Tamil Nadu,Pharma & Chemicals,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,597,0,1,1,11,0.69,57,0,Mutually Settled,161.0
2025,Rajasthan,IT & Software Services,Non-Payment,10-50 Lakh,3000000,PSU,72,0,1,1,4,0.59,74,0,Mutually Settled,50.0
2022,Haryana,Construction,Payment After Due Date,10-50 Lakh,3000000,Govt Department,661,1,0,1,12,0.72,59,0,Mutually Settled,123.0
2020,Karnataka,Textile & Apparel,Non-Payment,Above 1 Crore,15000000,CPSE,50,1,1,1,12,0.45,64,0,Mutually Settled,80.0
2021,Andhra Pradesh,Electrical & Electronics,Payment After Due Date,1-10 Lakh,500000,Govt Department,490,1,1,1,6,0.49,44,3,Mutually Settled,156.0
2020,West Bengal,Textile & Apparel,Partial Payment,1-10 Lakh,500000,PSU,553,0,0,1,11,0.58,106,1,Mutually Settled,65.0
2020,Maharashtra,Auto Components,Non-Payment,10-50 Lakh,3000000,Private Large Corp,684,0,1,1,1,0.68,33,0,Mutually Settled,145.0
2022,Goa,IT & Software Services,Quality Dispute Leading to Non-Payment,Above 1 Crore,15000000,Private Large Corp,353,1,1,0,5,0.87,90,0,Mutually Settled,158.0
2024,West Bengal,Manufacturing,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,120,1,0,1,9,0.62,10,0,Mutually Settled,113.0
2019,Andhra Pradesh,Pharma & Chemicals,Partial Payment,10-50 Lakh,3000000,Private Large Corp,788,1,1,1,13,0.82,52,1,Mutually Settled,175.0
2020,Punjab,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,390,1,1,1,6,0.56,102,0,Mutually Settled,119.0
2024,Andhra Pradesh,Textile & Apparel,Non-Payment,Below 1 Lakh,50000,Private Large Corp,429,1,1,1,14,0.77,10,3,Mutually Settled,117.0
2021,Maharashtra,Printing & Packaging,Partial Payment,1-10 Lakh,500000,Private Large Corp,298,1,1,0,13,0.89,80,0,Mutually Settled,58.0
2025,Uttar Pradesh,Food Processing,Payment After Due Date,Below 1 Lakh,50000,Private SME,879,1,0,0,4,0.63,17,0,Mutually Settled,75.0
2020,Kerala,Textile & Apparel,Contract Breach,1-10 Lakh,500000,Private SME,692,0,1,1,10,0.72,90,1,Disposed - In Favour of Claimant,705.0
2021,Gujarat,Auto Components,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,224,1,1,0,7,0.53,53,0,Converted to Case - Pending,
2018,Maharashtra,Pharma & Chemicals,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,428,0,1,1,4,0.77,22,0,Mutually Settled,102.0
2025,Madhya Pradesh,Pharma & Chemicals,Partial Payment,10-50 Lakh,3000000,CPSE,671,1,1,0,13,0.1,72,0,Disposed - In Favour of Claimant,145.0
2024,Telangana,Electrical & Electronics,Payment After Due Date,10-50 Lakh,3000000,Private SME,302,0,1,1,3,0.32,11,2,Converted to Case - Pending,
2024,Gujarat,Manufacturing,Partial Payment,Below 1 Lakh,50000,Private SME,511,1,0,1,3,0.76,67,0,Mutually Settled,110.0
2019,Andhra Pradesh,Electrical & Electronics,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,889,1,1,0,12,0.32,13,1,Mutually Settled,61.0
2025,Haryana,Construction,Non-Payment,1-10 Lakh,500000,PSU,802,1,1,1,9,0.55,58,0,Mutually Settled,33.0
2025,Karnataka,Engineering & Fabrication,Non-Payment,10-50 Lakh,3000000,Private Large Corp,734,0,1,0,8,0.93,116,3,Disposed - In Favour of Claimant,324.0
2021,Telangana,IT & Software Services,Partial Payment,1-10 Lakh,500000,Private Large Corp,501,1,0,1,5,0.82,45,0,Mutually Settled,51.0
2023,Uttar Pradesh,Auto Components,Contract Breach,10-50 Lakh,3000000,Private Large Corp,577,1,0,1,3,1.0,45,2,Mutually Settled,156.0
2025,Gujarat,Auto Components,Partial Payment,1-10 Lakh,500000,Private Large Corp,400,0,1,1,13,0.67,102,1,Disposed - In Favour of Claimant,482.0
2021,Tamil Nadu,IT & Software Services,Contract Breach,10-50 Lakh,3000000,CPSE,599,1,1,1,10,0.63,43,0,Mutually Settled,161.0
2019,Karnataka,IT & Software Services,Quality Dispute Leading to Non-Payment,Below 1 Lakh,50000,PSU,189,1,0,1,8,0.65,64,1,Mutually Settled,96.0
2024,Karnataka,IT & Software Services,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Govt Department,799,1,1,0,12,0.47,39,0,Mutually Settled,53.0
2022,Madhya Pradesh,Manufacturing,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,CPSE,590,1,0,1,4,0.61,8,2,Mutually Settled,68.0
2025,Madhya Pradesh,IT & Software Services,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,646,0,1,1,3,0.4,74,0,Mutually Settled,64.0
2022,Delhi,IT & Software Services,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,640,1,0,0,5,0.88,40,0,Mutually Settled,58.0
2017,Madhya Pradesh,Textile & Apparel,Partial Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,528,0,1,1,12,0.8,110,0,Disposed - In Favour of Claimant,519.0
2022,Gujarat,Printing & Packaging,Non-Payment,10-50 Lakh,3000000,Private SME,829,1,1,1,9,0.42,51,0,Disposed - In Favour of Claimant,566.0
2023,Maharashtra,Pharma & Chemicals,Non-Payment,1-10 Lakh,500000,Govt Department,733,1,0,0,6,0.52,93,0,Mutually Settled,98.0
2017,Kerala,IT & Software Services,Non-Payment,10-50 Lakh,3000000,PSU,646,0,0,0,7,0.73,94,1,Mutually Settled,60.0
2021,Maharashtra,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private SME,356,0,0,0,14,0.7,113,3,Converted to Case - Pending,
2019,Gujarat,Construction,Non-Payment,1-10 Lakh,500000,Private Large Corp,793,1,1,1,10,0.44,20,0,Mutually Settled,141.0
2023,Haryana,Pharma & Chemicals,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,713,1,0,1,6,0.66,66,0,Converted to Case - Pending,
2025,Uttar Pradesh,Engineering & Fabrication,Partial Payment,Below 1 Lakh,50000,PSU,758,1,1,1,3,0.76,58,1,Mutually Settled,52.0
2023,Kerala,Pharma & Chemicals,Non-Payment,1-10 Lakh,500000,Private SME,767,1,1,1,11,0.77,99,1,Mutually Settled,127.0
2023,Tamil Nadu,Manufacturing,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,708,1,1,1,3,0.99,103,0,Mutually Settled,167.0
2021,Maharashtra,IT & Software Services,Partial Payment,10-50 Lakh,3000000,Private Large Corp,843,1,1,1,2,0.7,65,0,Mutually Settled,21.0
2022,Tamil Nadu,Pharma & Chemicals,Non-Payment,10-50 Lakh,3000000,PSU,490,1,1,0,10,0.4,45,0,Mutually Settled,127.0
2022,Delhi,Construction,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private Large Corp,141,0,1,1,1,0.44,101,0,Disposed - In Favour of Claimant,633.0
2023,Uttar Pradesh,Manufacturing,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,389,1,0,0,14,0.9,74,1,Mutually Settled,70.0
2024,Karnataka,IT & Software Services,Partial Payment,10-50 Lakh,3000000,PSU,760,1,1,1,12,0.97,91,1,Mutually Settled,92.0
2023,Kerala,Electrical & Electronics,Non-Payment,50 Lakh - 1 Crore,7500000,PSU,289,0,0,0,9,0.64,78,0,Mutually Settled,178.0
2025,Bihar,Pharma & Chemicals,Partial Payment,10-50 Lakh,3000000,Private SME,682,1,1,1,12,0.73,74,0,Mutually Settled,25.0
2024,Tamil Nadu,IT & Software Services,Payment After Due Date,10-50 Lakh,3000000,Govt Department,583,1,1,1,13,0.67,34,0,Mutually Settled,120.0
2019,Rajasthan,Electrical & Electronics,Non-Payment,Below 1 Lakh,50000,Private Large Corp,440,1,1,1,2,0.59,12,0,Disposed - In Favour of Claimant,378.0
2022,Karnataka,Manufacturing,Contract Breach,10-50 Lakh,3000000,PSU,321,1,0,1,4,0.35,23,2,Disposed - In Favour of Claimant,267.0
2024,Jharkhand,Food Processing,Non-Payment,10-50 Lakh,3000000,Private Large Corp,857,1,1,0,12,0.75,111,0,Disposed - In Favour of Claimant,105.0
2025,Goa,Printing & Packaging,Partial Payment,1-10 Lakh,500000,Private SME,831,0,1,1,3,1.0,68,1,Mutually Settled,81.0
2021,Gujarat,Food Processing,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Govt Department,719,1,1,1,4,0.68,78,0,Mutually Settled,139.0
2023,West Bengal,Electrical & Electronics,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,PSU,145,1,1,0,4,0.59,53,3,Disposed - In Favour of Claimant,712.0
2021,Uttar Pradesh,Auto Components,Non-Payment,10-50 Lakh,3000000,Private SME,561,1,1,0,14,0.56,91,1,Mutually Settled,24.0
2019,Maharashtra,Printing & Packaging,Non-Payment,1-10 Lakh,500000,PSU,770,1,1,1,10,0.75,53,1,Mutually Settled,21.0
2024,Maharashtra,Printing & Packaging,Payment After Due Date,Below 1 Lakh,50000,Private SME,135,1,0,1,5,0.88,40,0,Mutually Settled,74.0
2025,Rajasthan,Construction,Non-Payment,1-10 Lakh,500000,Private Large Corp,699,0,0,1,1,0.76,82,2,Disposed - In Favour of Claimant,621.0
2022,Rajasthan,Construction,Partial Payment,10-50 Lakh,3000000,Private Large Corp,442,1,1,1,14,0.28,78,0,Disposed - In Favour of Claimant,94.0
2017,Maharashtra,IT & Software Services,Payment After Due Date,1-10 Lakh,500000,Private SME,647,1,1,0,7,1.0,53,0,Mutually Settled,98.0
2024,Haryana,Pharma & Chemicals,Partial Payment,Below 1 Lakh,50000,Private Large Corp,86,1,1,1,6,0.82,36,0,Mutually Settled,88.0
2022,Tamil Nadu,Food Processing,Non-Payment,Above 1 Crore,15000000,Govt Department,648,1,0,0,11,0.61,65,1,Disposed - In Favour of Claimant,127.0
2018,Karnataka,Engineering & Fabrication,Partial Payment,1-10 Lakh,500000,Govt Department,486,1,0,0,5,0.54,14,0,Mutually Settled,146.0
2019,Tamil Nadu,Auto Components,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Govt Department,516,1,1,1,2,0.56,113,0,Mutually Settled,70.0
2019,Gujarat,Engineering & Fabrication,Partial Payment,50 Lakh - 1 Crore,7500000,Private SME,579,1,0,1,4,0.82,112,2,Mutually Settled,159.0
2023,Uttar Pradesh,IT & Software Services,Payment After Due Date,10-50 Lakh,3000000,PSU,695,0,1,0,14,0.25,34,0,Rejected,71.0
2020,Gujarat,Electrical & Electronics,Non-Payment,10-50 Lakh,3000000,Private SME,95,1,1,1,9,0.75,26,0,Disposed - In Favour of Claimant,182.0
2019,Karnataka,Printing & Packaging,Non-Payment,Above 1 Crore,15000000,PSU,657,1,1,1,10,0.71,55,0,Mutually Settled,168.0
2024,Gujarat,Auto Components,Non-Payment,50 Lakh - 1 Crore,7500000,PSU,317,0,1,1,4,0.7,63,0,Mutually Settled,131.0
2025,Karnataka,IT & Software Services,Partial Payment,10-50 Lakh,3000000,PSU,528,0,1,1,9,0.42,109,0,Mutually Settled,128.0
2019,Gujarat,Auto Components,Non-Payment,1-10 Lakh,500000,CPSE,541,0,1,1,6,0.31,70,1,Converted to Case - Pending,
2020,Punjab,Textile & Apparel,Partial Payment,1-10 Lakh,500000,Private Large Corp,516,1,1,1,13,1.0,46,1,Mutually Settled,95.0
2022,West Bengal,Food Processing,Payment After Due Date,50 Lakh - 1 Crore,7500000,Govt Department,368,1,0,1,12,0.68,37,2,Mutually Settled,172.0
2019,Maharashtra,Construction,Payment After Due Date,50 Lakh - 1 Crore,7500000,Private Large Corp,833,1,1,0,13,1.0,23,0,Mutually Settled,19.0
2019,Rajasthan,Food Processing,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,238,1,1,1,4,0.83,108,1,Mutually Settled,158.0
2021,Maharashtra,Engineering & Fabrication,Payment After Due Date,10-50 Lakh,3000000,CPSE,553,1,0,1,10,0.67,109,0,Mutually Settled,36.0
